::ffff:169.54.244.78 - - [19/Dec/2015:06:48:42 +0000] "GET / HTTP/1.0" 302 28 "-" "Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0"
::ffff:46.165.220.194 - - [19/Dec/2015:07:15:35 +0000] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 302 28 "-" "-"
::ffff:66.249.84.108 - - [19/Dec/2015:08:51:33 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; rv:6.0) Gecko/20110814 Firefox/6.0 Google Favicon"
::ffff:91.196.50.33 - - [19/Dec/2015:11:36:10 +0000] "GET http://testp2.czar.bielawa.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:118.98.104.21 - - [19/Dec/2015:13:32:08 +0000] "GET /user/soapCaller.bs HTTP/1.1" 302 28 "-" "Morfeus Fucking Scanner"
::ffff:61.216.2.14 - - [19/Dec/2015:13:44:50 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
::ffff:54.153.33.145 - - [19/Dec/2015:15:18:43 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:188.68.224.62 - - [19/Dec/2015:18:50:15 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [19/Dec/2015:19:26:16 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [19/Dec/2015:21:01:12 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [19/Dec/2015:21:01:35 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [19/Dec/2015:22:21:41 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [19/Dec/2015:23:52:39 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [20/Dec/2015:03:03:15 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
