::ffff:40.121.139.0 - - [21/Dec/2015:06:05:46 +0000] "GET / HTTP/1.0" 302 28 "-" "-"
::ffff:192.95.8.27 - - [21/Dec/2015:06:58:02 +0000] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 302 28 "-" "-"
::ffff:200.1.177.195 - - [21/Dec/2015:06:58:33 +0000] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [21/Dec/2015:07:56:41 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:66.249.84.109 - - [21/Dec/2015:08:48:15 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; rv:6.0) Gecko/20110814 Firefox/6.0 Google Favicon"
::ffff:188.68.224.62 - - [21/Dec/2015:09:39:50 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [21/Dec/2015:10:27:39 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:118.139.160.106 - - [21/Dec/2015:11:03:23 +0000] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [21/Dec/2015:11:07:04 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [21/Dec/2015:12:41:41 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [21/Dec/2015:13:31:52 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:108.192.81.66 - - [21/Dec/2015:13:45:40 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.48 Safari/537.36"
::ffff:108.192.81.66 - - [21/Dec/2015:13:45:40 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.48 Safari/537.36"
::ffff:108.192.81.66 - - [21/Dec/2015:13:45:41 +0000] "GET /assets/main.css HTTP/1.1" 200 10638 "http://matchly.io/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.48 Safari/537.36"
::ffff:108.192.81.66 - - [21/Dec/2015:13:45:41 +0000] "GET /assets/default.css HTTP/1.1" 200 6028 "http://matchly.io/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.48 Safari/537.36"
::ffff:108.192.81.66 - - [21/Dec/2015:13:45:41 +0000] "GET /assets/jquery.min.js HTTP/1.1" 200 84380 "http://matchly.io/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.48 Safari/537.36"
::ffff:108.192.81.66 - - [21/Dec/2015:13:45:41 +0000] "GET /login/index.js HTTP/1.1" 200 222952 "http://matchly.io/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.48 Safari/537.36"
::ffff:188.68.224.62 - - [21/Dec/2015:14:02:40 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [21/Dec/2015:14:20:48 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [21/Dec/2015:16:40:55 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:64.246.165.50 - - [21/Dec/2015:19:22:18 +0000] "GET /robots.txt HTTP/1.0" 302 28 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en; rv:1.9.0.13) Gecko/2009073022 Firefox/3.5.2 (.NET CLR 3.5.30729) SurveyBot/2.3 (DomainTools)"
::ffff:64.246.165.50 - - [21/Dec/2015:19:22:18 +0000] "GET / HTTP/1.1" 302 28 "http://whois.domaintools.com/matchly.io" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en; rv:1.9.0.13) Gecko/2009073022 Firefox/3.5.2 (.NET CLR 3.5.30729) SurveyBot/2.3 (DomainTools)"
::ffff:64.246.165.50 - - [21/Dec/2015:19:22:18 +0000] "GET /login HTTP/1.1" 200 705 "http://whois.domaintools.com/matchly.io" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en; rv:1.9.0.13) Gecko/2009073022 Firefox/3.5.2 (.NET CLR 3.5.30729) SurveyBot/2.3 (DomainTools)"
::ffff:188.68.224.62 - - [21/Dec/2015:20:49:29 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [21/Dec/2015:22:40:59 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [22/Dec/2015:02:15:20 +0000] "GET http://51.254.206.142/httptest.php HTTP/1.1" 302 28 "-" "-"
