::ffff:128.232.110.29 - - [30/Dec/2015:07:08:35 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:71.177.95.90 - - [30/Dec/2015:07:19:35 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/47.0.2526.107 Mobile/13C75 Safari/601.1.46"
::ffff:71.177.95.90 - - [30/Dec/2015:07:19:35 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/47.0.2526.107 Mobile/13C75 Safari/601.1.46"
::ffff:46.172.71.251 - - [30/Dec/2015:09:18:54 +0000] "GET / HTTP/1.1" 302 28 "-" "-"
::ffff:199.189.84.200 - - [30/Dec/2015:10:33:59 +0000] "HEAD /manager/html HTTP/1.0" 302 28 "-" "-"
::ffff:66.249.84.107 - - [30/Dec/2015:18:43:31 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 6.1; rv:6.0) Gecko/20110814 Firefox/6.0 Google Favicon"
::ffff:200.1.177.195 - - [30/Dec/2015:19:17:33 +0000] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 302 28 "-" "-"
::ffff:198.50.168.1 - - [30/Dec/2015:19:20:57 +0000] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 302 28 "-" "-"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:47 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:47 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:48 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:48 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:48 +0000] "GET /assets/jquery.min.js HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:48 +0000] "GET /assets/main.css HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:48 +0000] "GET /assets/default.css HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:48 +0000] "GET /login/index.js HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:52 +0000] "POST /userLogin/ HTTP/1.1" 200 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:53 +0000] "GET / HTTP/1.1" 200 817 "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:53 +0000] "GET /assets/jquery.min.js HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:53 +0000] "GET /assets/default.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:53 +0000] "GET /assets/main.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:53 +0000] "GET /index.js HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:53 +0000] "POST /checkLogin HTTP/1.1" 200 248 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:53 +0000] "GET /assets/loading.gif HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:54 +0000] "POST /headerOrder HTTP/1.1" 200 298 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:54 +0000] "GET /employers HTTP/1.1" 200 7565 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:54 +0000] "GET /calendar?startDate=2015-12-28T00:00:00-08:00&endDate=2016-01-25T00:00:00-08:00 HTTP/1.1" 200 1596 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:54 +0000] "GET /schools HTTP/1.1" 200 16448 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:24:57 +0000] "GET /calendar?startDate=2015-12-28T00:00:00-08:00&endDate=2016-01-25T00:00:00-08:00 HTTP/1.1" 200 1596 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [30/Dec/2015:19:25:00 +0000] "GET /calendar?startDate=2015-12-28T00:00:00-08:00&endDate=2016-01-25T00:00:00-08:00 HTTP/1.1" 200 1596 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:50.30.32.186 - - [31/Dec/2015:02:24:49 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0"
::ffff:180.97.106.37 - - [31/Dec/2015:02:53:31 +0000] "GET http://www.baidu.com/robots.txt HTTP/1.1" 302 28 "-" "-"
