::ffff:104.255.65.207 - - [06/Jan/2016:00:17:04 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 302 28 "-" "-"
::ffff:188.68.224.62 - - [06/Jan/2016:01:11:52 +0000] "GET http://dhg.pisz.pl/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [06/Jan/2016:01:36:29 +0000] "GET http://dhg.pisz.pl/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [06/Jan/2016:02:26:00 +0000] "GET http://dhg.pisz.pl/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:185.106.92.44 - - [06/Jan/2016:03:52:19 +0000] "HEAD / HTTP/1.1" 302 28 "-" "curl/7.38.0"
::ffff:185.106.92.44 - - [06/Jan/2016:03:52:19 +0000] "HEAD /login HTTP/1.1" 200 705 "-" "curl/7.38.0"
::ffff:188.68.224.62 - - [06/Jan/2016:04:45:56 +0000] "GET http://dhg.pisz.pl/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:104.174.104.232 - - [06/Jan/2016:05:06:58 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:104.174.104.232 - - [06/Jan/2016:05:06:59 +0000] "GET /login HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:104.174.104.232 - - [06/Jan/2016:05:06:59 +0000] "GET /assets/jquery.min.js HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:104.174.104.232 - - [06/Jan/2016:05:06:59 +0000] "GET /assets/main.css HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:104.174.104.232 - - [06/Jan/2016:05:06:59 +0000] "GET /login/index.js HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
