::ffff:201.6.211.218 - - [11/Jan/2016:01:07:48 +0000] "GET /manager/html HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:5.0) Gecko/20100101 Firefox/5.0"
::ffff:188.68.224.62 - - [11/Jan/2016:01:57:27 +0000] "GET http://dhg.pisz.pl/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:71.177.95.90 - - [11/Jan/2016:03:25:52 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/47.0.2526.107 Mobile/13C75 Safari/601.1.46"
::ffff:188.68.224.62 - - [11/Jan/2016:03:54:54 +0000] "GET http://dhg.pisz.pl/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [11/Jan/2016:04:16:43 +0000] "GET http://dhg.pisz.pl/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:188.68.224.62 - - [11/Jan/2016:04:16:44 +0000] "GET http://dhg.pisz.pl/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:208.100.26.232 - - [11/Jan/2016:05:23:31 +0000] "GET / HTTP/1.0" 302 28 "-" "-"
::ffff:208.100.26.232 - - [11/Jan/2016:05:23:31 +0000] "OPTIONS / HTTP/1.0" 302 28 "-" "-"
::ffff:208.100.26.232 - - [11/Jan/2016:05:23:31 +0000] "GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 302 28 "-" "-"
::ffff:208.100.26.232 - - [11/Jan/2016:05:23:46 +0000] "HEAD / HTTP/1.1" 302 28 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)"
::ffff:208.100.26.232 - - [11/Jan/2016:05:23:46 +0000] "GET / HTTP/1.0" 302 28 "-" "-"
::ffff:208.100.26.232 - - [11/Jan/2016:05:23:46 +0000] "GET / HTTP/1.0" 302 28 "-" "-"
::ffff:208.100.26.232 - - [11/Jan/2016:05:23:46 +0000] "HEAD /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; http://nmap.org/book/nse.html)"
::ffff:107.150.60.74 - - [11/Jan/2016:07:20:57 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
::ffff:188.68.224.62 - - [11/Jan/2016:07:47:55 +0000] "GET http://dhg.pisz.pl/httptest.php HTTP/1.1" 302 28 "-" "-"
::ffff:185.106.92.112 - - [11/Jan/2016:09:48:25 +0000] "HEAD / HTTP/1.1" 302 28 "-" "curl/7.38.0"
::ffff:185.106.92.112 - - [11/Jan/2016:09:48:25 +0000] "HEAD /login HTTP/1.1" 200 705 "-" "curl/7.38.0"
