::ffff:76.14.134.242 - - [29/Jan/2016:00:14:54 +0000] "GET http://jagerman.com/env.cgi HTTP/1.1" 302 28 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
::ffff:47.88.28.221 - - [29/Jan/2016:11:29:46 +0000] "GET http://www.ntdtv.com/xtr/gb/prog400.html HTTP/1.1" 302 28 "-" "-"
::ffff:47.88.28.221 - - [29/Jan/2016:11:29:47 +0000] "GET http://www.ntdtv.com/login HTTP/1.1" 200 705 "-" "-"
::ffff:94.185.83.100 - - [29/Jan/2016:12:05:23 +0000] "GET http://testp4.pospr.waw.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:142.54.169.164 - - [29/Jan/2016:13:26:28 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
::ffff:76.225.56.80 - - [29/Jan/2016:16:59:01 +0000] "GET http://luisaranguren.com/cgi-bin/prxjdg.cgi HTTP/1.1" 302 28 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
::ffff:185.130.5.244 - - [29/Jan/2016:17:59:56 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 302 28 "-" "-"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:08 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:09 +0000] "GET /login HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:09 +0000] "GET /assets/jquery.min.js HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:09 +0000] "GET /assets/main.css HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:09 +0000] "GET /assets/default.css HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:09 +0000] "GET /login/index.js HTTP/1.1" 304 - "http://matchly.io/login" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:11 +0000] "POST /userLogin/ HTTP/1.1" 200 - "http://matchly.io/login" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:11 +0000] "GET / HTTP/1.1" 200 817 "http://matchly.io/login" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:11 +0000] "GET /assets/main.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:11 +0000] "GET /assets/default.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:11 +0000] "GET /index.js HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:11 +0000] "GET /assets/jquery.min.js HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:11 +0000] "POST /checkLogin HTTP/1.1" 200 259 "http://matchly.io/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:12 +0000] "POST /headerOrder HTTP/1.1" 200 284 "http://matchly.io/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:128.143.104.249 - - [29/Jan/2016:18:41:12 +0000] "GET /assets/loading.gif HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
