::ffff:141.212.122.64 - - [28/Feb/2016:07:45:58 +0000] "GET /x HTTP/1.1" 302 28 "-" "Telesphoreo"
::ffff:91.196.50.33 - - [28/Feb/2016:09:26:37 +0000] "GET http://testp3.pospr.waw.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:113.76.90.154 - - [28/Feb/2016:14:14:21 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E)"
::ffff:113.76.90.154 - - [28/Feb/2016:14:14:21 +0000] "GET /login HTTP/1.1" 200 705 "HTTP://45.55.51.249/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E)"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:11 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:12 +0000] "GET /assets/jquery.min.js HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:12 +0000] "GET /assets/main.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:12 +0000] "GET /assets/default.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:12 +0000] "GET /index.js HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:12 +0000] "POST /checkLogin HTTP/1.1" 200 248 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:12 +0000] "GET /assets/loading.gif HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:13 +0000] "GET /employers HTTP/1.1" 200 6917 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:13 +0000] "POST /headerOrder HTTP/1.1" 200 302 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:13 +0000] "GET /schools HTTP/1.1" 200 16262 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:76.174.179.0 - - [28/Feb/2016:18:55:13 +0000] "GET /calendar?startDate=2016-02-29T00:00:00-08:00&endDate=2016-03-28T00:00:00-07:00 HTTP/1.1" 200 1540 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
::ffff:162.243.188.75 - - [28/Feb/2016:19:46:12 +0000] "GET / HTTP/1.0" 302 28 "-" "-"
::ffff:185.49.14.190 - - [28/Feb/2016:21:14:27 +0000] "GET http://testp2.czar.bielawa.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
