::ffff:91.196.50.33 - - [06/Mar/2016:00:49:17 +0000] "GET http://testp3.pospr.waw.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:185.112.248.32 - - [06/Mar/2016:04:29:22 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E)"
::ffff:185.112.248.32 - - [06/Mar/2016:04:29:22 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E)"
::ffff:76.94.206.164 - - [06/Mar/2016:06:52:28 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/48.0.2564.87 Mobile/13D15 Safari/601.1.46"
::ffff:76.94.206.164 - - [06/Mar/2016:06:52:28 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/48.0.2564.87 Mobile/13D15 Safari/601.1.46"
::ffff:76.94.206.164 - - [06/Mar/2016:06:52:28 +0000] "GET /assets/default.css HTTP/1.1" 200 5944 "http://matchly.io/login" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/48.0.2564.87 Mobile/13D15 Safari/601.1.46"
::ffff:76.94.206.164 - - [06/Mar/2016:06:52:28 +0000] "GET /assets/main.css HTTP/1.1" 200 10938 "http://matchly.io/login" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/48.0.2564.87 Mobile/13D15 Safari/601.1.46"
::ffff:76.94.206.164 - - [06/Mar/2016:06:52:29 +0000] "GET /assets/jquery.min.js HTTP/1.1" 200 84380 "http://matchly.io/login" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/48.0.2564.87 Mobile/13D15 Safari/601.1.46"
::ffff:76.94.206.164 - - [06/Mar/2016:06:52:29 +0000] "GET /login/index.js HTTP/1.1" 200 220270 "http://matchly.io/login" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/48.0.2564.87 Mobile/13D15 Safari/601.1.46"
::ffff:185.25.151.159 - - [06/Mar/2016:08:31:40 +0000] "GET http://testp5.mielno.lubin.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:220.167.100.13 - - [06/Mar/2016:09:32:37 +0000] "GET /manager/html HTTP/1.1" 302 56 "-" "Mozilla/3.0 (compatible; Indy Library)"
::ffff:220.167.100.13 - - [06/Mar/2016:09:32:37 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/3.0 (compatible; Indy Library)"
::ffff:185.25.151.159 - - [06/Mar/2016:18:59:04 +0000] "GET http://testp5.mielno.lubin.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:141.212.122.129 - - [06/Mar/2016:20:08:36 +0000] "GET /x HTTP/1.1" 302 28 "-" "Telesphoreo"
::ffff:185.25.151.159 - - [06/Mar/2016:21:58:39 +0000] "GET http://testp4.pospr.waw.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:76.14.134.242 - - [06/Mar/2016:23:50:56 +0000] "GET http://infohound.net/tools/env.pl HTTP/1.1" 302 28 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
