::ffff:185.25.148.240 - - [31/Mar/2016:00:24:37 +0000] "GET http://testp1.piwo.pila.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:195.154.200.68 - - [31/Mar/2016:01:52:11 +0000] "GET /robots.txt HTTP/1.0" 302 28 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:195.154.200.68 - - [31/Mar/2016:01:52:12 +0000] "GET /login HTTP/1.0" 200 705 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:195.154.200.68 - - [31/Mar/2016:01:52:17 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:195.154.200.68 - - [31/Mar/2016:01:52:30 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:74.91.23.106 - - [31/Mar/2016:07:57:27 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
::ffff:107.150.46.37 - - [31/Mar/2016:09:30:39 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
::ffff:185.25.151.159 - - [31/Mar/2016:12:57:45 +0000] "GET http://testp3.pospr.waw.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:91.196.50.33 - - [31/Mar/2016:14:25:56 +0000] "GET http://testp4.pospr.waw.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:180.178.56.170 - - [31/Mar/2016:15:59:29 +0000] "POST /login.action HTTP/1.1" 302 28 "-" "Mozilla/5.0"
::ffff:180.178.56.170 - - [31/Mar/2016:15:59:29 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0"
::ffff:180.178.56.170 - - [31/Mar/2016:16:06:29 +0000] "POST /login.action HTTP/1.1" 302 28 "-" "Mozilla/5.0"
::ffff:180.178.56.170 - - [31/Mar/2016:16:06:29 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0"
::ffff:182.118.53.225 - - [31/Mar/2016:16:42:41 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2251.0 Safari/537.36"
::ffff:182.118.53.225 - - [31/Mar/2016:16:42:41 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249" "Go 1.1 package http"
::ffff:212.83.177.193 - - [31/Mar/2016:17:53:37 +0000] "GET /robots.txt HTTP/1.0" 302 28 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:212.83.177.193 - - [31/Mar/2016:17:53:37 +0000] "GET /login HTTP/1.0" 200 705 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:212.83.177.193 - - [31/Mar/2016:17:53:39 +0000] "GET / HTTP/1.0" 302 56 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:212.83.177.193 - - [31/Mar/2016:17:53:41 +0000] "GET /login HTTP/1.0" 200 705 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:180.97.106.162 - - [31/Mar/2016:18:36:12 +0000] "GET http://www.baidu.com/robots.txt HTTP/1.1" 302 28 "-" "-"
::ffff:83.136.249.122 - - [31/Mar/2016:21:37:08 +0000] "GET /CFIDE/administrator/ HTTP/1.1" 302 28 "-" "-"
::ffff:83.136.249.122 - - [31/Mar/2016:21:38:22 +0000] "GET /login HTTP/1.1" 200 705 "-" "-"
::ffff:66.249.65.41 - - [31/Mar/2016:23:20:45 +0000] "GET /robots.txt HTTP/1.1" 302 28 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.65.47 - - [31/Mar/2016:23:20:45 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.65.41 - - [31/Mar/2016:23:20:45 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.65.47 - - [31/Mar/2016:23:20:46 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
