::ffff:94.185.83.100 - - [05/Apr/2016:00:30:27 +0000] "GET http://testp5.mielno.lubin.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:151.80.41.169 - - [05/Apr/2016:03:13:03 +0000] "GET /robots.txt HTTP/1.0" 302 28 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:151.80.41.169 - - [05/Apr/2016:03:13:03 +0000] "GET /login HTTP/1.0" 200 705 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:151.80.41.169 - - [05/Apr/2016:03:13:05 +0000] "GET / HTTP/1.0" 302 56 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:151.80.41.169 - - [05/Apr/2016:03:13:06 +0000] "GET /login HTTP/1.0" 200 705 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:66.249.79.87 - - [05/Apr/2016:03:34:56 +0000] "GET /robots.txt HTTP/1.1" 302 28 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.79.89 - - [05/Apr/2016:03:34:56 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.79.91 - - [05/Apr/2016:03:34:57 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.79.89 - - [05/Apr/2016:03:34:57 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:212.59.30.110 - - [05/Apr/2016:05:55:07 +0000] "GET /manager/html HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:5.0) Gecko/20100101 Firefox/5.0"
::ffff:64.16.209.152 - - [05/Apr/2016:06:23:30 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 302 28 "-" "-"
::ffff:107.160.38.81 - - [05/Apr/2016:07:33:24 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
::ffff:107.160.38.81 - - [05/Apr/2016:07:33:24 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
::ffff:141.212.122.193 - - [05/Apr/2016:09:50:28 +0000] "GET / HTTP/1.1" 302 28 "-" "Go http package"
::ffff:141.212.122.193 - - [05/Apr/2016:09:50:28 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249:80" "Go http package"
::ffff:205.204.95.90 - - [05/Apr/2016:10:48:03 +0000] "GET / HTTP/1.0" 302 28 "-" "-"
::ffff:205.204.95.90 - - [05/Apr/2016:10:48:16 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:205.204.95.90 - - [05/Apr/2016:10:48:29 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249:80/" "Go-http-client/1.1"
::ffff:205.204.95.90 - - [05/Apr/2016:10:48:41 +0000] "GET /CHANGELOG.txt HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36"
::ffff:205.204.95.90 - - [05/Apr/2016:10:48:51 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249:80/CHANGELOG.txt" "Go-http-client/1.1"
::ffff:205.204.95.90 - - [05/Apr/2016:10:49:04 +0000] "GET /joomla.xml HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36"
::ffff:205.204.95.90 - - [05/Apr/2016:10:49:18 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249:80/joomla.xml" "Go-http-client/1.1"
