::ffff:200.21.104.8 - - [17/Apr/2016:01:12:42 +0000] "HEAD / HTTP/1.0" 302 28 "-" "-"
::ffff:66.249.79.89 - - [17/Apr/2016:06:26:50 +0000] "GET /robots.txt HTTP/1.1" 302 28 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.79.87 - - [17/Apr/2016:06:26:50 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.79.89 - - [17/Apr/2016:06:26:51 +0000] "GET /login/index.js HTTP/1.1" 200 220270 "http://matchly.io/login" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.79.87 - - [17/Apr/2016:06:26:52 +0000] "GET /assets/main.css HTTP/1.1" 200 10938 "http://matchly.io/login" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.79.91 - - [17/Apr/2016:06:26:52 +0000] "GET /assets/default.css HTTP/1.1" 200 5944 "http://matchly.io/login" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.79.87 - - [17/Apr/2016:06:26:53 +0000] "GET /assets/jquery.min.js HTTP/1.1" 200 84380 "http://matchly.io/login" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:91.196.50.33 - - [17/Apr/2016:08:07:35 +0000] "GET http://testp4.pospr.waw.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
::ffff:222.186.58.225 - - [17/Apr/2016:09:26:33 +0000] "GET /manager/html HTTP/1.1" 302 56 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)"
::ffff:199.223.235.66 - - [17/Apr/2016:13:30:35 +0000] "GET / HTTP/1.0" 302 28 "-" "-"
::ffff:199.223.235.66 - - [17/Apr/2016:13:30:35 +0000] "HEAD / HTTP/1.0" 302 28 "-" "Fast HTTP Auth Scanner v0.6"
::ffff:199.223.235.66 - - [17/Apr/2016:13:30:35 +0000] "GET /hag/pages/home.ssi HTTP/1.0" 302 28 "-" "-"
::ffff:199.223.235.66 - - [17/Apr/2016:13:30:35 +0000] "GET /index.htm HTTP/1.0" 302 28 "-" "-"
::ffff:199.223.235.66 - - [17/Apr/2016:13:30:35 +0000] "GET /login HTTP/1.0" 200 705 "-" "-"
::ffff:198.245.55.60 - - [17/Apr/2016:13:39:57 +0000] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 302 28 "-" "-"
::ffff:141.212.122.81 - - [17/Apr/2016:16:39:49 +0000] "GET /x HTTP/1.1" 302 28 "-" "Telesphoreo"
::ffff:52.37.19.196 - - [17/Apr/2016:23:09:49 +0000] "GET / HTTP/1.0" 302 28 "-" "-"
::ffff:52.37.19.196 - - [17/Apr/2016:23:09:49 +0000] "HEAD / HTTP/1.0" 302 28 "-" "Fast HTTP Auth Scanner v0.6"
::ffff:52.37.19.196 - - [17/Apr/2016:23:09:49 +0000] "GET /hag/pages/home.ssi HTTP/1.0" 302 28 "-" "-"
::ffff:52.37.19.196 - - [17/Apr/2016:23:09:49 +0000] "GET /index.htm HTTP/1.0" 302 28 "-" "-"
::ffff:52.37.19.196 - - [17/Apr/2016:23:09:49 +0000] "GET /login HTTP/1.0" 200 705 "-" "-"
