::ffff:66.249.75.175 - - [20/Apr/2016:00:32:30 +0000] "GET /m/ HTTP/1.1" 302 56 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:54.209.214.12 - - [20/Apr/2016:00:58:45 +0000] "GET / HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
::ffff:54.209.214.12 - - [20/Apr/2016:00:58:45 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
::ffff:54.209.214.12 - - [20/Apr/2016:00:58:47 +0000] "GET /HNAP1/ HTTP/1.1" 302 56 "http://45.55.51.249/" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
::ffff:54.209.214.12 - - [20/Apr/2016:00:58:47 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249/" "Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
::ffff:66.249.75.167 - - [20/Apr/2016:01:43:40 +0000] "GET /robots.txt HTTP/1.1" 302 28 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.75.159 - - [20/Apr/2016:01:43:40 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.75.167 - - [20/Apr/2016:01:43:40 +0000] "GET /mobile/ HTTP/1.1" 302 56 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:66.249.75.167 - - [20/Apr/2016:02:26:49 +0000] "GET /login HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:149.154.167.162 - - [20/Apr/2016:14:56:13 +0000] "GET / HTTP/1.1" 302 28 "-" "TelegramBot (like TwitterBot)"
::ffff:149.154.167.162 - - [20/Apr/2016:14:56:13 +0000] "GET /login HTTP/1.1" 200 705 "-" "TelegramBot (like TwitterBot)"
::ffff:69.30.226.101 - - [20/Apr/2016:16:33:27 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
